Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
Total greenhouse gas emissions (kt of CO2 equivalent),Syrian Arab Republic,89439.79221,98330.34683,100553.5215,102019.6105,104048.2832,109432.7372,99245.48167,46286.62543,45708.65357,47112.47483
Total greenhouse gas emissions (kt of CO2 equivalent),Tajikistan,11084.16884,7314.632287,6984.969994,6670.936069,7439.920478,9021.62801,9063.632399,11819.94477,14623.35748,17692.28592
Total greenhouse gas emissions (kt of CO2 equivalent),Tanzania,40182.14112,43409.13642,47590.9723,51527.09696,59486.67382,61633.86741,69312.1093,76899.20651,79828.43676,89255.44823
Total greenhouse gas emissions (kt of CO2 equivalent),Thailand,199796.8487,255103.6648,256308.6876,281494.1642,320716.4928,343122.2668,361290.8861,388973.4431,414733.0612,433773.458
Total greenhouse gas emissions (kt of CO2 equivalent),Timor-Leste,549.278718,674.431824,586.675306,2761.604646,5372.561866,6409.899305,6929.128449,6771.222804,6368.614556,5537.128706
Total greenhouse gas emissions (kt of CO2 equivalent),Togo,2944.996233,3724.831263,4622.104783,4550.97426,5756.251166,5240.54394,7047.916407,6230.39166,7198.497129,8395.488807
Total greenhouse gas emissions (kt of CO2 equivalent),Tonga,259.190402,235.057686,249.899296,234.546933,251.858734,264.710845,245.860621,255.828426,279.510978,268.338502
Total greenhouse gas emissions (kt of CO2 equivalent),Trinidad and Tobago,16168.22826,13489.16377,14816.19912,19301.71908,26565.82674,30545.21996,33334.67922,33773.07257,29352.59245,26480.71295
Total greenhouse gas emissions (kt of CO2 equivalent),Tunisia,24238.18722,25822.54926,29280.42809,31717.41989,33573.07712,36773.95392,38042.41588,42427.86618,41921.08857,40882.99745
Total greenhouse gas emissions (kt of CO2 equivalent),Turkiye,221665.6317,249038.8855,259126.0286,271454.735,301420.0799,357394.6947,393957.1712,425731.3098,503113.7066,504956.3259
Total greenhouse gas emissions (kt of CO2 equivalent),Turkmenistan,110387.5794,87257.93685,92432.00882,128299.2207,157216.6617,178297.2827,182457.5818,197349.4807,196842.4678,194091.8305
Total greenhouse gas emissions (kt of CO2 equivalent),Tuvalu,18.816635,18.339172,19.355783,21.20506,20.859521,22.208869,23.287923,22.039087,21.98272,21.742689
Total greenhouse gas emissions (kt of CO2 equivalent),Uganda,14224.15487,15147.7639,16799.27259,18124.99317,21767.4806,29207.99866,31246.84003,33744.22193,36253.09841,39280.05175
Total greenhouse gas emissions (kt of CO2 equivalent),Ukraine,610485.6506,436702.317,378369.8424,373106.9335,358852.9821,364485.5126,345050.8317,298994.1535,235470.1646,227341.5857
Total greenhouse gas emissions (kt of CO2 equivalent),United Arab Emirates,89207.16657,107322.8889,114109.4404,130406.6674,156119.516,200149.8201,215072.184,240979.5629,251238.4239,249927.7494
Total greenhouse gas emissions (kt of CO2 equivalent),United Kingdom,722308.7558,733986.3594,688179.7436,680705.9907,677964.168,638236.3597,551090.6869,513738.0731,463736.3259,398323.6546
Total greenhouse gas emissions (kt of CO2 equivalent),United States,6006008.717,6338951.954,6647798.804,6605762.539,6772890.756,6601049.857,6254958.264,6224268.726,5947835.047,5505180.89
Total greenhouse gas emissions (kt of CO2 equivalent),Uruguay,32389.42562,33789.17551,34147.55794,32208.80289,35171.5828,38840.32107,37547.54342,36920.50083,36326.40903,35994.19321
Total greenhouse gas emissions (kt of CO2 equivalent),Uzbekistan,161096.1952,150117.2148,171679.5055,187309.1577,176522.0375,191729.5794,192741.5348,168051.3289,177384.47,187520.3945
Total greenhouse gas emissions (kt of CO2 equivalent),Vanuatu,544.096539,577.520928,589.903965,545.445892,562.971264,699.107626,731.636445,781.02248,645.853414,588.659649
Total greenhouse gas emissions (kt of CO2 equivalent),"Venezuela, RB",316608.1585,375684.2491,373291.9303,379322.48,407818.5093,417682.8076,406627.4297,439569.7724,351794.2988,194259.7019
Total greenhouse gas emissions (kt of CO2 equivalent),Viet Nam,84985.36878,105395.127,128165.1053,152726.3708,188782.8465,217120.1443,261809.3939,291458.4244,342192.0449,470578.1002
Total greenhouse gas emissions (kt of CO2 equivalent),"Yemen, Rep.",20345.71466,26417.62345,31957.5173,36037.42863,42517.6512,44827.13131,44130.11609,47636.41181,23058.36661,24391.15073
Total greenhouse gas emissions (kt of CO2 equivalent),Zambia,25523.6579,22813.62897,23608.99686,25691.74375,29370.2779,27880.72203,28979.05696,33504.6955,34743.01806,36107.82044
Total greenhouse gas emissions (kt of CO2 equivalent),Zimbabwe,29542.69185,31096.75437,33769.14317,28719.80837,27102.74707,24717.64754,30638.58212,28858.31442,27709.32361,25988.12599
Electric power consumption (kWh per capita),Albania,536.3638251,904.3466403,1414.703784,1578.165919,1722.07285,1617.744156,2205.70392,2309.366503,2205.70392,2309.366503
Electric power consumption (kWh per capita),Algeria,553.6235638,576.0638551,658.7670639,736.1335584,895.8423919,951.7034508,1126.957018,1368.621519,1126.957018,1368.621519
Electric power consumption (kWh per capita),Angola,52.15415849,51.17027674,71.89324917,86.03494183,109.1977007,172.4175925,206.6852326,310.0816685,206.6852326,310.0816685
Electric power consumption (kWh per capita),Argentina,1494.390964,1721.138686,2023.461579,2003.667517,2397.486533,2759.51327,2929.075029,3074.702071,2929.075029,3074.702071
Electric power consumption (kWh per capita),Armenia,1162.451346,1171.603366,1259.813539,1208.037135,1488.557209,1626.991296,1774.681663,1976.864492,1774.681663,1976.864492
Electric power consumption (kWh per capita),Australia,8717.645239,9151.392717,10097.13663,10899.75435,10571.42534,10749.11106,10627.29387,10071.39898,10627.29387,10071.39898
Electric power consumption (kWh per capita),Austria,6137.269463,6607.222977,6972.189816,7427.656445,7977.681597,8233.014833,8425.167753,8355.841952,8425.167753,8355.841952
Electric power consumption (kWh per capita),Azerbaijan,2119.736351,1852.891923,2022.485985,1996.708252,2388.388734,2040.760435,1705.424633,2202.393918,1705.424633,2202.393918
Electric power consumption (kWh per capita),Bahrain,20228.14616,18836.64477,18980.45607,19663.94236,21024.0143,18562.73242,18889.06398,19969.73612,18889.06398,19969.73612
Electric power consumption (kWh per capita),Bangladesh,65.36837641,80.41584804,95.96478947,121.4628085,173.7318149,205.932668,263.9819899,317.24537,263.9819899,317.24537
Electric power consumption (kWh per capita),Belarus,3450.222433,2806.615123,3005.364257,3000.745625,3245.372088,3481.743517,3632.87856,3690.103683,3632.87856,3690.103683
Electric power consumption (kWh per capita),Belgium,6881.072143,7527.688545,7944.129807,8311.892679,8509.997073,8521.49674,8028.798731,7709.123078,8028.798731,7709.123078
Electric power consumption (kWh per capita),Benin,37.85368883,43.68248155,50.96788154,67.00949153,72.27509102,84.32073362,89.03620874,97.1281349,89.03620874,97.1281349
Electric power consumption (kWh per capita),Bolivia,303.0026288,360.1036227,409.1691816,422.3318855,469.2138152,519.3008152,617.9153514,728.2229062,617.9153514,728.2229062
Electric power consumption (kWh per capita),Bosnia and Herzegovina,732.1871447,1085.023073,1653.497917,1873.328236,2197.691081,2843.237497,3270.51445,3360.899316,3270.51445,3360.899316
Electric power consumption (kWh per capita),Botswana,882.1948461,915.1993245,1022.134624,1210.49729,1392.11235,1472.11207,1419.844173,1677.597002,1419.844173,1677.597002
Electric power consumption (kWh per capita),Brazil,1522.14509,1672.631979,1820.045932,1797.268162,2008.56721,2222.415792,2422.576221,2610.999282,2422.576221,2610.999282
Electric power consumption (kWh per capita),Brunei Darussalam,5212.266388,6793.034527,7356.785763,7359.056936,8426.116051,8474.444052,8612.57366,10121.0591,8612.57366,10121.0591
Electric power consumption (kWh per capita),Bulgaria,3807.696906,4350.443259,3613.367267,3853.819004,4165.180392,4674.503151,4863.691441,4708.927458,4863.691441,4708.927458
Electric power consumption (kWh per capita),Cambodia,17.0898373,19.6734001,30.17058736,50.62977147,66.88517333,114.1001706,164.7467371,272.5034428,164.7467371,272.5034428
Electric power consumption (kWh per capita),Cameroon,196.7682123,170.4563368,182.3936951,159.356211,191.3729248,273.8977374,262.0682323,279.9155231,262.0682323,279.9155231
Electric power consumption (kWh per capita),Canada,16320.1273,16607.20634,16678.9326,16960.63967,16948.27522,16377.4797,15644.54028,15588.48715,15644.54028,15588.48715
Electric power consumption (kWh per capita),Chile,1508.959676,1922.823898,2390.815746,2726.237575,3097.065645,3347.665409,3596.106646,3895.436156,3596.106646,3895.436156
Electric power consumption (kWh per capita),China,662.6370456,821.0808591,913.963448,1194.856295,1782.312153,2446.369055,3295.784868,3905.317598,3295.784868,3905.317598
Electric power consumption (kWh per capita),Colombia,884.8254941,922.130149,836.6197328,882.359121,918.4068379,998.3724183,1148.560242,1320.34513,1148.560242,1320.34513
Electric power consumption (kWh per capita),"Congo, Dem. Rep.",100.6042216,101.6122208,92.53134812,86.62060799,86.66628812,98.21730294,105.0335268,105.2796488,105.0335268,105.2796488
Electric power consumption (kWh per capita),"Congo, Rep.",158.4322989,152.6666063,69.61343659,114.6748368,115.7143017,132.7757567,141.5727357,194.3431777,141.5727357,194.3431777
Electric power consumption (kWh per capita),Costa Rica,1319.973266,1241.714836,1429.475859,1550.22664,1709.034551,1872.756097,1866.482504,1922.883198,1866.482504,1922.883198
Electric power consumption (kWh per capita),Cote d'Ivoire,143.7320222,160.0167876,172.4592121,172.1340042,166.1024928,189.4840408,192.0426896,270.5740305,192.0426896,270.5740305
Electric power consumption (kWh per capita),Croatia,2218.254989,2405.039875,2778.887634,3191.409738,3582.246073,3990.29632,3900.601361,3714.382988,3900.601361,3714.382988
Electric power consumption (kWh per capita),Cuba,836.1825651,972.3588303,1081.923966,1188.266732,1156.666205,1318.747506,1325.195531,1447.666993,1325.195531,1447.666993
Electric power consumption (kWh per capita),Curacao,5537.113909,6301.860484,7000.028689,7282.999884,7613.070072,7149.712092,7379.119677,4797.670436,7379.119677,4797.670436
Electric power consumption (kWh per capita),Cyprus,2978.258711,2795.270312,3159.081151,3683.590004,4062.437926,4509.378519,4164.752691,3548.868092,4164.752691,3548.868092
Electric power consumption (kWh per capita),Czechia,5032.403649,5729.386255,5493.85153,5894.233119,6357.421095,6489.126257,6298.727678,6258.891037,6298.727678,6258.891037
Electric power consumption (kWh per capita),Denmark,6306.869562,6646.685948,6508.513381,6533.752014,6659.000427,6534.12385,6165.97362,5858.801536,6165.97362,5858.801536
Electric power consumption (kWh per capita),Dominican Republic,510.8186641,634.7729258,1270.422644,1379.290585,1225.562938,1368.483793,1415.021421,1597.142222,1415.021421,1597.142222
Electric power consumption (kWh per capita),Ecuador,509.3943327,608.3962246,636.3173324,692.3166319,797.7480339,1080.307602,1212.516722,1375.862154,1212.516722,1375.862154
Electric power consumption (kWh per capita),"Egypt, Arab Rep.",696.9284255,779.376924,909.6255477,1036.767076,1205.281396,1396.747607,1597.543876,1592.219894,1597.543876,1592.219894
Electric power consumption (kWh per capita),El Salvador,426.7457907,506.6291309,580.8720407,661.7564493,757.2273224,864.6859585,891.1013534,949.9919962,891.1013534,949.9919962
Electric power consumption (kWh per capita),Eritrea,64.60016786,74.64423629,74.68776483,84.79153843,85.46006472,80.51157454,89.47583373,96.28621076,89.47583373,96.28621076
Electric power consumption (kWh per capita),Estonia,4049.853828,4556.391169,4460.368108,4767.462935,5531.545829,6364.56783,6314.414448,6732.367473,6314.414448,6732.367473
Electric power consumption (kWh per capita),Ethiopia,23.14484666,24.31435827,22.74208756,25.8887965,33.04507529,40.29299014,51.59123116,68.05233164,51.59123116,68.05233164
Electric power consumption (kWh per capita),Finland,13012.66943,13721.92376,15075.86719,16140.06697,16117.89033,16349.23333,15710.97376,15249.98938,15710.97376,15249.98938
Electric power consumption (kWh per capita),France,6453.066166,6904.768053,7148.386845,7297.953479,7651.768968,7642.891013,7232.708161,6939.943525,7232.708161,6939.943525
Electric power consumption (kWh per capita),Gabon,838.1907095,821.3099067,872.849309,889.1731063,873.588219,931.8878135,919.0409027,1118.536954,919.0409027,1118.536954
Electric power consumption (kWh per capita),Georgia,1936.836961,1150.78949,1563.795947,1653.380721,1916.479029,1881.537211,2289.134849,2693.97276,2289.134849,2693.97276
Electric power consumption (kWh per capita),Germany,6288.41635,6403.333726,6505.132999,6900.780527,7138.221485,7187.764009,7281.272174,7035.482975,7281.272174,7035.482975
Electric power consumption (kWh per capita),Ghana,325.2294736,354.0683961,347.8684207,298.4344691,235.4096784,253.1027699,305.312448,339.1927426,305.312448,339.1927426
Electric power consumption (kWh per capita),Gibraltar,3687.58758,3892.182896,4188.481675,4481.571777,4836.220202,5296.401079,5236.427873,5916.43042,5236.427873,5916.43042
Electric power consumption (kWh per capita),Greece,3459.422977,3832.66722,4316.32629,4909.639698,5297.200025,5805.192546,5389.333122,5062.606422,5389.333122,5062.606422
Electric power consumption (kWh per capita),Guatemala,246.7668285,261.9355787,365.5708147,364.8481937,486.1645073,540.8572883,550.2869363,601.1897311,550.2869363,601.1897311
Electric power consumption (kWh per capita),Haiti,28.99560846,34.36031201,39.71279608,30.94135851,37.64308212,23.91583215,31.74503672,39.56691514,31.74503672,39.56691514
Electric power consumption (kWh per capita),Honduras,335.4654064,394.5420017,439.2218132,509.9781934,565.3957446,646.2779709,653.0585547,608.1390944,653.0585547,608.1390944
Electric power consumption (kWh per capita),"Hong Kong SAR, China",4698.695136,4915.701966,5268.145009,5647.899646,5878.441848,5883.037742,5959.895922,6083.269936,5959.895922,6083.269936
Electric power consumption (kWh per capita),Hungary,2995.986589,3162.374877,3321.406628,3545.170756,3771.364614,3988.767694,3898.823143,3965.958233,3898.823143,3965.958233
Electric power consumption (kWh per capita),Iceland,16737.13148,17358.58037,24522.22755,27896.89868,27988.02968,50063.95433,52373.87701,53832.47909,52373.87701,53832.47909
Electric power consumption (kWh per capita),India,320.9149714,359.4810859,391.1196337,408.7769006,465.1766773,558.4267535,692.779357,797.349232,830.779357,900.349232
Electric power consumption (kWh per capita),Indonesia,211.8680234,295.0284628,352.9909514,412.266143,495.1462105,564.1504172,674.8207384,808.4189721,674.8207384,808.4189721
Electric power consumption (kWh per capita),"Iran, Islamic Rep.",1112.88631,1293.037294,1474.267172,1744.170926,2067.107978,2383.003643,2621.511809,2927.790204,2621.511809,2927.790204
Electric power consumption (kWh per capita),Iraq,1302.458388,1321.990901,1224.143639,1201.165035,784.7398159,747.4404554,1247.140772,1243.846759,1247.140772,1243.846759
Electric power consumption (kWh per capita),Ireland,4185.097229,4787.890617,5433.864939,6035.686646,6241.715574,6340.733045,5657.538159,5672.064134,5657.538159,5672.064134
Electric power consumption (kWh per capita),Israel,4618.893746,5340.302178,5974.367347,6502.739726,6572.199535,7134.002846,6930.000773,6600.89828,6930.000773,6600.89828
Electric power consumption (kWh per capita),Italy,4303.645312,4658.700157,5079.492406,5539.703837,5731.101557,5757.960611,5514.803615,5002.40668,5514.803615,5002.40668
Electric power consumption (kWh per capita),Jamaica,1541.644741,2126.026593,2295.600113,2394.016626,2453.618284,1190.540733,1239.909124,1084.917705,1239.909124,1084.917705
Electric power consumption (kWh per capita),Japan,7077.361831,7835.41274,8147.38887,8266.099102,8539.010589,8270.007731,8099.598695,7819.714636,8099.598695,7819.714636
Electric power consumption (kWh per capita),Jordan,1052.810041,1185.155997,1270.710141,1412.748515,1602.526286,1826.3579,1990.300957,1921.107652,1990.300957,1921.107652
Electric power consumption (kWh per capita),Kazakhstan,4527.897268,3636.54991,2838.353326,3558.327279,4012.073919,4658.571898,4892.734896,5600.208465,4892.734896,5600.208465
Electric power consumption (kWh per capita),Kenya,130.8688661,132.3520764,120.9739494,116.4740883,130.9599836,141.0165312,150.6034552,167.4380987,150.6034552,167.4380987
Electric power consumption (kWh per capita),"Korea, Dem. People's Rep.",881.4579991,807.3193535,678.661525,704.3620656,800.4238168,798.4373073,653.0881941,600.0525907,653.0881941,600.0525907
Electric power consumption (kWh per capita),"Korea, Rep.",3091.371196,4280.71094,4878.833384,6673.937704,7796.314674,8772.287463,10129.95709,10496.51367,10129.95709,10496.51367
Electric power consumption (kWh per capita),Kuwait,11542.98534,13311.07873,14968.89093,15806.66652,17342.28683,17063.82288,16023.47459,15297.81071,16023.47459,15297.81071
